Assuming rdf:type as type relation
Loading files... 
  Starting processed_triples1.txt
  Finished processed_triples1.txt, still running: 0
Loaded 8730 facts in 97 ms using -32 MB
Using Support as pruning metric with minimum threshold 1.0
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 64 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  managerclubs  ?h  ?b  managerclubs  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.25	1	1	4	1	?a
?a  australianopenresult  ?h  ?b  australianopenresult  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?b  australianopenresult  ?h  ?a  wimbledonresult  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  coronation  ?h  ?b  coronation  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  numberOfSeasons  ?h  ?b  numberOfSeasons  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	1	1	2	1	?a
?a  numSeasons  ?h  ?b  numberOfSeasons  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	1	1	2	1	?a
?a  prov#wasDerivedFrom  ?h  ?b  prov#wasDerivedFrom  ?h   => ?a  isPrimaryTopicOf  ?b	0.621212121	0.891304348	1	41	46	41	?a
?a  activeYearsEndYear  ?h  ?b  careerEnd  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.25	0.5	1	4	2	?a
?a  versionOf  ?h  ?b  versionOf  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  executiveProducer  ?h  ?b  executiveProducer  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.2	1	1	5	1	?a
?a  colour  ?h  ?b  colour  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  locationCountry  ?h  ?b  locationCountry  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?b  symbol  ?h  ?a  yahoo  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  symbol  ?h  ?b  symbol  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  google  ?h  ?b  symbol  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  stockrow  ?h  ?b  symbol  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  primeminister  ?h  ?b  primeminister  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	1	1	2	1	?a
?a  singlesrecord  ?h  ?b  singlesrecord  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  era  ?h  ?b  era  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  usopenmixedresult  ?h  ?b  usopenmixedresult  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?h  related  ?a  ?b  related  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.014084507	1	1	71	1	?a
?a  related  ?h  ?b  related  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.009803922	1	1	102	1	?a
?a  reason  ?h  ?b  reason  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  change  ?h  ?b  change  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  publisher  ?h  ?b  publisher  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  divisions  ?h  ?b  divisions  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  division  ?h  ?b  divisions  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  rank  ?h  ?b  rank  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  published  ?h  ?b  published  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  usopenresult  ?h  ?b  usopenresult  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  origLangCode  ?h  ?b  origLangCode  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  instrument  ?h  ?b  instrument  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  state  ?h  ?b  stateSenate  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  stateHouse  ?h  ?b  stateSenate  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  stateSenate  ?h  ?b  stateSenate  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  owner  ?h  ?b  owningCompany  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.1	1	1	10	1	?a
?a  owningCompany  ?h  ?b  owningCompany  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.333333333	1	1	3	1	?a
?a  style  ?h  ?b  style  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?b  affiliates  ?h  ?a  broadcastNetwork  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  affiliates  ?h  ?b  affiliates  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  careerPosition  ?h  ?b  careerPosition  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.2	0.5	1	5	2	?a
?a  retired  ?h  ?b  retired  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  rightarm  ?h  ?b  shorts  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  leftarm  ?h  ?b  shorts  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  shorts  ?h  ?b  shorts  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  latestReleaseVersion  ?h  ?b  latestReleaseVersion  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  reach  ?h  ?b  reach  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?b  careerPrizeMoney  ?h  ?a  careerprizemoney  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  careerPrizeMoney  ?h  ?b  careerPrizeMoney  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?b  about  ?h  ?a  by  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	0.5	1	2	2	?a
?b  about  ?h  ?a  onlinebooks  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	0.5	1	2	2	?a
?b  about  ?h  ?a  others  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	0.5	1	2	2	?a
?a  about  ?h  ?b  about  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.25	0.5	1	4	2	?a
?a  wins  ?h  ?b  wins  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?b  hasVariant  ?h  ?h  related  ?a   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  hasVariant  ?h  ?b  hasVariant  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  runtime  ?h  ?b  runtime  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	1	1	2	1	?a
?a  n  ?h  ?b  n  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	1	1	2	1	?a
?b  n  ?h  ?a  s  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.25	1	1	4	1	?a
?b  n  ?h  ?a  voy  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	1	1	2	1	?a
?b  n  ?h  ?a  v  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.333333333	1	1	3	1	?a
?a  b  ?h  ?b  n  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	1	1	2	1	?a
?b  n  ?h  ?a  species  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	1	1	2	1	?a
?b  n  ?h  ?a  q  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?b  n  ?h  ?a  wikt  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  launchDate  ?h  ?b  launchDate  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  country  ?h  ?b  country  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  reign  ?h  ?b  reign  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?b  reign  ?h  ?a  years  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	0.5	1	2	2	?a
?a  careerEnd  ?h  ?b  careerEnd  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.2	0.5	1	5	2	?a
?b  careerEnd  ?h  ?a  years  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.333333333	0.333333333	1	3	3	?a
?b  previousWork  ?h  ?h  subsequentWork  ?a   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?h  followedBy  ?a  ?b  previousWork  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  precededBy  ?h  ?b  previousWork  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  previousWork  ?h  ?b  previousWork  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?b  label  ?h  ?a  recordLabel  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  label  ?h  ?b  label  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	1	1	2	1	?a
?b  academicDiscipline  ?h  ?a  field  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  academicDiscipline  ?h  ?b  academicDiscipline  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  background  ?h  ?b  background  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  n  ?h  ?b  wikt  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  s  ?h  ?b  wikt  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	1	1	2	1	?a
?a  voy  ?h  ?b  wikt  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	1	1	2	1	?a
?a  v  ?h  ?b  wikt  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.333333333	1	1	3	1	?a
?a  b  ?h  ?b  wikt  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	1	1	2	1	?a
?a  species  ?h  ?b  wikt  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	1	1	2	1	?a
?a  q  ?h  ?b  wikt  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  wikt  ?h  ?b  wikt  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  koWins  ?h  ?b  koWins  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  ko  ?h  ?b  koWins  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  founded  ?h  ?b  founded  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?b  founded  ?h  ?a  foundingDate  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  by  ?h  ?b  by  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?b  by  ?h  ?a  onlinebooks  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?b  by  ?h  ?a  others  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  about  ?h  ?b  by  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	1	1	2	1	?a
?a  residence  ?h  ?b  residence  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	1	1	2	1	?a
?a  mixed  ?h  ?b  mixed  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  medaltemplatesExpand  ?h  ?b  mixed  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  frenchopenmixedresult  ?h  ?b  frenchopenmixedresult  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  australianopenmixedresult  ?h  ?b  frenchopenmixedresult  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  relation  ?h  ?b  relation  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.166666667	1	1	6	1	?a
?a  nat  ?h  ?b  nat  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  basedOn  ?h  ?b  basedOn  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.111111111	1	1	9	1	?a
?a  owners  ?h  ?b  owners  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.2	1	1	5	1	?a
?a  draftYear  ?h  ?b  draftYear  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.333333333	1	1	3	1	?a
?a  n  ?h  ?b  voy  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	0.5	1	2	2	?a
?a  s  ?h  ?b  voy  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.25	0.5	1	4	2	?a
?a  voy  ?h  ?b  voy  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.25	0.5	1	4	2	?a
?a  v  ?h  ?b  voy  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.166666667	0.5	1	6	2	?a
?a  b  ?h  ?b  voy  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.25	0.5	1	4	2	?a
?a  species  ?h  ?b  voy  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.25	0.5	1	4	2	?a
?a  q  ?h  ?b  voy  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	0.5	1	2	2	?a
?b  voy  ?h  ?a  wikt  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	0.5	1	2	2	?a
?a  sopt  ?h  ?b  sopt  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  koLosses  ?h  ?b  koLosses  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  careerNumber  ?h  ?b  careerNumber  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	1	1	2	1	?a
?b  careerNumber  ?h  ?a  number  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	1	1	2	1	?a
?b  b  ?h  ?a  n  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	0.5	1	2	2	?a
?b  b  ?h  ?a  s  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.25	0.5	1	4	2	?a
?b  b  ?h  ?a  voy  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.25	0.5	1	4	2	?a
?b  b  ?h  ?a  v  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.166666667	0.5	1	6	2	?a
?a  b  ?h  ?b  b  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.25	0.5	1	4	2	?a
?b  b  ?h  ?a  species  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.25	0.5	1	4	2	?a
?b  b  ?h  ?a  q  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	0.5	1	2	2	?a
?b  b  ?h  ?a  wikt  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	0.5	1	2	2	?a
?a  updated  ?h  ?b  updated  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?h  associatedBand  ?a  ?b  associatedMusicalArtist  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.020408163	1	1	49	1	?a
?h  associatedActs  ?a  ?b  associatedMusicalArtist  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?h  associatedMusicalArtist  ?a  ?b  associatedMusicalArtist  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.020408163	1	1	49	1	?a
?a  associatedBand  ?h  ?b  associatedMusicalArtist  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.006666667	1	1	150	1	?a
?a  associatedMusicalArtist  ?h  ?b  associatedMusicalArtist  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.006666667	1	1	150	1	?a
?a  race  ?h  ?b  race  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  doublesrecord  ?h  ?b  doublesrecord  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?b  patternB  ?h  ?a  patternLa  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?b  patternB  ?h  ?a  patternRa  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  patternB  ?h  ?b  patternB  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  by  ?h  ?b  onlinebooks  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  onlinebooks  ?h  ?b  onlinebooks  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?b  onlinebooks  ?h  ?a  others  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  about  ?h  ?b  onlinebooks  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	1	1	2	1	?a
?h  child  ?a  ?b  parents  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.066666667	1	1	15	1	?a
?a  parents  ?h  ?b  parents  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.2	1	1	5	1	?a
?a  turnedpro  ?h  ?b  turnedpro  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  broadcastNetwork  ?h  ?b  broadcastNetwork  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  affiliates  ?h  ?b  broadcastNetwork  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  succeededBy  ?h  ?b  succeededBy  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  supportStatus  ?h  ?b  supportStatus  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  kernelType  ?h  ?b  kernelType  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  by  ?h  ?b  others  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  onlinebooks  ?h  ?b  others  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  others  ?h  ?b  others  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  about  ?h  ?b  others  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	1	1	2	1	?a
?a  schoolTradition  ?h  ?b  schoolTradition  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  season  ?h  ?b  season  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  othertournamentsdoubles  ?h  ?b  othertournamentsdoubles  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  fightingStyle  ?h  ?b  fightingStyle  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  discontinued  ?h  ?b  discontinued  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  careerStart  ?h  ?b  careerStart  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  activeYearsStartYear  ?h  ?b  careerStart  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?b  careerStart  ?h  ?a  years  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  distributor  ?h  ?b  distributor  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.015151515	1	1	66	1	?a
?b  completionDate  ?h  ?a  lastAired  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  completionDate  ?h  ?b  completionDate  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?b  completionDate  ?h  ?a  end  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  lastAppearance  ?h  ?b  lastAppearance  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  nick  ?h  ?b  nick  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  names  ?h  ?b  nick  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?b  numSeasons  ?h  ?a  numberOfSeasons  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	1	1	2	1	?a
?a  numSeasons  ?h  ?b  numSeasons  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	1	1	2	1	?a
?a  n  ?h  ?b  v  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.333333333	0.333333333	1	3	3	?a
?a  s  ?h  ?b  v  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.166666667	0.333333333	1	6	3	?a
?b  v  ?h  ?a  voy  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.166666667	0.333333333	1	6	3	?a
?a  v  ?h  ?b  v  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.111111111	0.333333333	1	9	3	?a
?a  b  ?h  ?b  v  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.166666667	0.333333333	1	6	3	?a
?a  species  ?h  ?b  v  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.166666667	0.333333333	1	6	3	?a
?a  q  ?h  ?b  v  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.333333333	0.333333333	1	3	3	?a
?b  v  ?h  ?a  wikt  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.333333333	0.333333333	1	3	3	?a
?a  hangul  ?h  ?b  hangul  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  activeYearsStartYear  ?h  ?b  yearsactive  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  yearsactive  ?h  ?b  yearsactive  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?b  nativeName  ?h  ?h  wikiPageRedirects  ?a   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  nativeName  ?h  ?b  nativeName  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  decWins  ?h  ?b  decWins  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  draftTeam  ?h  ?b  draftTeam  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.111111111	0.333333333	1	9	3	?a
?b  draftTeam  ?h  ?a  team  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.166666667	0.333333333	1	6	3	?a
?a  signature  ?h  ?b  signature  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  depiction  ?h  ?b  signature  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  capacity  ?h  ?b  capacity  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  quote  ?h  ?b  quote  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	1	1	2	1	?a
?a  percentage  ?h  ?b  percentage  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  burialPlace  ?h  ?b  burialPlace  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?b  followedBy  ?h  ?a  subsequentWork  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	1	1	2	1	?a
?a  followedBy  ?h  ?b  followedBy  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	1	1	2	1	?a
?a  n  ?h  ?b  q  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?b  q  ?h  ?a  s  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	1	1	2	1	?a
?b  q  ?h  ?a  voy  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	1	1	2	1	?a
?b  q  ?h  ?a  v  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.333333333	1	1	3	1	?a
?a  b  ?h  ?b  q  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	1	1	2	1	?a
?b  q  ?h  ?a  species  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.5	1	1	2	1	?a
?a  q  ?h  ?b  q  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?b  q  ?h  ?a  wikt  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?b  hideRank  ?h  ?a  hideTvSeason  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  hideRank  ?h  ?b  hideRank  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  hide1849Rank  ?h  ?b  hideRank  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?h  wikiPageInterLanguageLink  ?a  ?b  wikiPageInterLanguageLink  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?h  primaryTopic  ?a  ?b  wikiPageInterLanguageLink  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?h  isPrimaryTopicOf  ?a  ?b  wikiPageInterLanguageLink  ?h   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
